feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,target
0.5488135039273248,0.7151893663724195,0.6027633760716439,0.5448831829968969,0.4236547993389047,0.3103808259798114,0.37303486388074747,0.5249704422542643,0.7505950229289875,0.3335074657912753,1.654229384661221
0.6458941130666561,0.4375872112626925,0.8917730007820798,0.9636627605010293,0.3834415188257777,0.9241587666207636,0.8623185468359024,0.04869029597552854,0.25364252425682277,0.4461355126592019,2.401745308585864
0.7917250380826646,0.5288949197529045,0.5680445610939323,0.925596638292661,0.07103605819788694,0.10462788874247408,0.3484759890334971,0.7400975256176825,0.6805144811428259,0.6223844285660048,1.8241353681655395
0.08712929970154071,0.02021839744032572,0.832619845547938,0.7781567509498505,0.8700121482468192,0.7105284027223456,0.20492368695970176,0.3416981148647321,0.6762424822774629,0.8792347630313271,2.01373508052666
0.978618342232764,0.7991585642167236,0.46147936225293185,0.7805291762864555,0.11827442586893322,0.5436780538280952,0.2826996509455366,0.03023525800598259,0.7103368289742134,0.007884103508440377,2.063240978856071
0.6399210213275238,0.1433532874090464,0.9446689170495839,0.5218483217500717,0.4146619399905236,0.3726790698209955,0.5305372145627818,0.922111461767193,0.08949454503290011,0.4059423219682837,1.2023007153801655
0.26455561210462697,0.7742336894342167,0.45615033221654855,0.5684339488686485,0.018789800436355142,0.024313199710157773,0.3426109843415903,0.6222310588397949,0.2790679482285984,0.2097499496556351,1.6356333816884658
0.6176354970758771,0.6120957227224214,0.6169339968747569,0.9437480785146242,0.6818202991034834,0.11570323332709365,0.5771402440203418,0.695270005904686,0.6719571405958223,0.9488610207205074,2.0855311754773576
0.359507900573786,0.43703195379934145,0.6976311959272649,0.06022547162926983,0.6667667154456677,0.0027032138935026984,0.647196653894036,0.6003922370976396,0.5887396099702882,0.9627703198402424,0.6848117135166036
0.6706378696181594,0.2103825610738409,0.1289262976548533,0.31542835092418386,0.3637107709426226,0.016871673370039697,0.6964824307014501,0.8136786497018634,0.5098071966215841,0.33396486959680916,1.5465867171592846
0.5701967704178796,0.43860151346232035,0.9883738380592262,0.10204481074802807,0.2088767560948347,0.7908401632274049,0.09724292563242465,0.44203563772992527,0.5199523745708382,0.6939564109345475,2.5184777812956214
0.16130951788499626,0.6531083254653984,0.2532916025397821,0.4663107728563063,0.24442559200160274,0.09088573203240946,0.22775950153786095,0.41030156269012563,0.6232946730201306,0.8869607812174175,1.7041620406852518
